XCoord,YCoord,OBJECTID,UNIQUEID,TIME
19.80182609,30.72038836,1,Hawk,2017-08-30 15:44:59.698000
19.79920883,30.72094062,2,Hawk,2017-08-30 15:49:59.785001
19.79659335,30.72149905,3,Hawk,2017-08-30 15:49:59.816001
19.79397962,30.72206354,4,Hawk,2017-08-30 15:49:59.849001
19.79136765,30.72263396,5,Hawk,2017-08-30 15:49:59.882001
19.78875740,30.72321020,6,Hawk,2017-08-30 15:49:59.914000
19.78614886,30.72379214,7,Hawk,2017-08-30 15:49:59.946000
19.78354202,30.72437966,8,Hawk,2017-08-30 15:49:59.977000
19.78093685,30.72497265,9,Hawk,2017-08-30 15:50:00.011000
19.77833335,30.72557098,10,Hawk,2017-08-30 15:50:00.044000
20.03718257,32.29401711,11,Hawk,2017-08-30 15:50:00.075000
20.03465190,32.29323392,12,Hawk,2017-08-30 15:50:00.107000
20.04226287,32.29553891,13,Hawk,2017-08-30 15:50:00.138000
20.13192758,31.83144627,14,Hawk,2017-08-30 15:50:00.171000
20.12990571,31.82993245,15,Hawk,2017-08-30 15:50:00.202000
20.12787124,31.82843084,16,Hawk,2017-08-30 15:50:00.233000
20.03971961,32.29478542,17,Hawk,2017-08-30 15:50:00.264000
20.13987702,31.83763129,18,Hawk,2017-08-30 15:50:00.297000
20.13791173,31.83606471,19,Hawk,2017-08-30 15:50:00.329000
20.13593123,31.83451200,20,Hawk,2017-08-30 15:50:00.364000
20.13393628,31.83297267,21,Hawk,2017-08-30 15:50:00.400000
20.04737122,32.29699190,22,Hawk,2017-08-30 15:50:00.431000
20.03858855,31.93641636,23,Hawk,2017-08-30 15:50:00.464000
20.12169725,31.82399599,24,Hawk,2017-08-30 15:50:00.495000
20.04481264,32.29627647,25,Hawk,2017-08-30 15:50:00.526000
20.15178885,32.22929168,26,Hawk,2017-08-30 15:50:00.557000
20.15397722,32.22796120,27,Hawk,2017-08-30 15:50:00.588000
20.14737068,32.23190305,28,Hawk,2017-08-30 15:50:00.619000
20.14958659,32.23060564,29,Hawk,2017-08-30 15:50:00.650000
20.16045549,32.22386970,30,Hawk,2017-08-30 15:50:00.681000
20.05251471,32.29835339,31,Hawk,2017-08-30 15:50:00.712000
20.15615136,32.22661411,32,Hawk,2017-08-30 15:50:00.743000
20.15831091,32.22525031,33,Hawk,2017-08-30 15:50:00.774000
20.01101738,31.03267963,34,Hawk,2017-08-30 15:50:00.807000
20.16469803,32.22105740,35,Hawk,2017-08-30 15:50:00.838000
20.04993871,32.29768411,36,Hawk,2017-08-30 15:50:00.870000
